swap->abgelehnt -8018 -8018 0
verschiebe -8018 -8018 0
swap->verwendet -8028 -8028 0
verschiebe -8028 -8028 0
swap->abgelehnt -8020
swap->abgelehnt -8022
verschiebe -8028 -8028 0
swap->abgelehnt -8013
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
swap->abgelehnt -8012 -8012 0
swap->abgelehnt -7982
swap->abgelehnt -8002 -8002 0
verschiebe -8002 -8002 0
swap->verwendet -8012 -8012 0
swap->verwendet -8028 -8028 0
swap->abgelehnt -8013
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
swap->abgelehnt -8010
verschiebe -8028 -8028 0
swap->abgelehnt -8018 -8018 0
verschiebe -8018 -8018 0
swap->abgelehnt -8013
verschiebe -8018 -8018 0
verschiebe -8018 -8018 0
verschiebe -8018 -8018 0
swap->abgelehnt -8008
swap->abgelehnt -8015 -8015 0
verschiebe -8015 -8015 0
verschiebe -8015 -8015 0
verschiebe -8015 -8015 0
swap->abgelehnt -8010 -8010 0
verschiebe -8010 -8010 0
swap->verwendet -8020 -8020 0
verschiebe -8020 -8020 0
swap->verwendet -8023 -8023 0
swap->abgelehnt -8019 -8019 0
swap->abgelehnt -8009 -8009 0
verschiebe -8009 -8009 0
verschiebe -8009 -8009 0
verschiebe -8009 -8009 0
swap->verwendet -8014 -8014 0
verschiebe -8014 -8014 0
swap->verwendet -8024 -8024 0
verschiebe -8024 -8024 0
verschiebe -8024 -8024 0
swap->verwendet -8028 -8028 0
swap->abgelehnt -7998 -7998 0
verschiebe -7998 -7998 0
swap->abgelehnt -7962
swap->verwendet -8028 -8028 0
verschiebe -8028 -8028 0
verschiebe -8028 -8028 0
swap->abgelehnt -8008 -8008 0
verschiebe -8008 -8008 0
verschiebe -8008 -8008 0
swap->abgelehnt -7984 -7984 0
verschiebe -7984 -7984 0
swap->abgelehnt -7977 -7977 0
swap->verwendet -8001 -8001 0
verschiebe -8001 -8001 0
swap->verwendet -8021 -8021 0
verschiebe -8021 -8021 0
