
verschiebe -385 668

verschiebe -413 670

swap->accepted -410 681

verschiebe -411 679

verschiebe -411 675

swap->rejected -411 674

swap->accepted -411 680

verschiebe -411 681

verschiebe -411 683

swap->accepted -411 685

verschiebe -411 685

verschiebe -387 688

swap->accepted -387 691

swap->rejected -387 689

verschiebe -387 688

swap->rejected -393 686

verschiebe -393 684

swap->rejected -388 684

swap->accepted -395 684

verschiebe -393 685

verschiebe -393 685

swap->rejected -393 684

swap->rejected -393 681

verschiebe -393 684

swap->accepted -393 690

verschiebe -393 690

verschiebe -387
swap->rejected -394 689

verschiebe -377
verschiebe -409 692

verschiebe -409 694

verschiebe -408 695

swap->accepted -412 695

verschiebe -412 695

swap->accepted -416 695

verschiebe -398 695

verschiebe -438 697

verschiebe -436 697

verschiebe -436 698

swap->accepted -436 703

swap->rejected -432 703

verschiebe -443 699

verschiebe -403 698

verschiebe -417 696

swap->rejected -417 692

swap->rejected -417 690

verschiebe -417 687

swap->accepted -417 689

verschiebe -417 687

swap->rejected -422 686

swap->rejected -424 685

verschiebe -426 687

swap->rejected -434 683

swap->rejected -434 682

swap->rejected -434 679

swap->rejected -434 678

swap->accepted -427 681

swap->accepted -430 681

swap->rejected -428
swap->accepted -450 681

verschiebe -450 686

verschiebe -450 686

verschiebe -450 686

verschiebe -424
swap->accepted -444
swap->accepted -455 686

swap->accepted -436 690

swap->rejected -436 686

swap->rejected -432 686

verschiebe -444 687

swap->accepted -446 687

verschiebe -447 683

swap->rejected -457 679

verschiebe -456 680

swap->accepted -435
swap->rejected -456 677

verschiebe -456 676

verschiebe -428 675

swap->rejected -428 673

verschiebe -428 674

verschiebe -428 671

verschiebe -425 666

verschiebe -420 671

verschiebe -420 671

swap->accepted -420 675

swap->rejected -429 672

verschiebe -429 671

verschiebe -428 674

verschiebe -447 675

verschiebe -453 673

swap->accepted -471 673

verschiebe -470 671

verschiebe -468 672

swap->rejected -468 671

swap->accepted -459
verschiebe -448
verschiebe -468 671

swap->accepted -468 672

verschiebe -478 675

verschiebe -482 674

verschiebe -482 676

verschiebe -455
swap->rejected -490 670

verschiebe -490 670

verschiebe -523 671

verschiebe -524 671

verschiebe -524 672

verschiebe -524 672

verschiebe -524 669

swap->rejected -543 665

verschiebe -544 664

swap->accepted -539 671

swap->accepted -543 671

swap->rejected -543 670

verschiebe -543 670

verschiebe -544 669

swap->accepted -547 669

verschiebe -545 670

verschiebe -533
verschiebe -545 670

swap->accepted -549 670

swap->rejected -549 669

verschiebe -549 671

verschiebe -549 669

verschiebe -558 670

verschiebe -530
swap->rejected -558 668

verschiebe -552 667

verschiebe -552 668

verschiebe -555 667

verschiebe -558 665

verschiebe -558 665

verschiebe -558 668

swap->rejected -558 664

swap->accepted -558 666

swap->rejected -558 665

swap->accepted -558 668

verschiebe -558 668

verschiebe -570 669

swap->accepted -570 671

swap->rejected -570 670

swap->rejected -570 667

swap->rejected -588 665

swap->rejected -596 664

verschiebe -601 670

verschiebe -601 668

swap->accepted -580
swap->rejected -601 666

verschiebe -608 665

verschiebe -615 661

swap->accepted -615 671

swap->rejected -615 670

swap->rejected -615 669

swap->accepted -617 669

verschiebe -617 672

swap->accepted -617 677

verschiebe -618 680

verschiebe -618 678

verschiebe -618 675

swap->accepted -619 675

verschiebe -628 678

swap->rejected -630 675

swap->accepted -618 681

verschiebe -622 683

swap->rejected -618 683

verschiebe -618 683

verschiebe -621 684

swap->accepted -621 686

swap->accepted -587 693

verschiebe -581 692

verschiebe -589 699

swap->accepted -583 700

verschiebe -584 701

swap->rejected -584 695

verschiebe -569
swap->rejected -584 693

swap->accepted -584 697

verschiebe -584 699

verschiebe -584 699

swap->rejected -584 694

verschiebe -582 694

verschiebe -582 693

swap->accepted -574 694

verschiebe -574 692

