SIMANN META
Anzahl Durchläufe: 70000
Starttemperatur: 350
Verkleinerungsrate: 0,99999

BESTE VERTEILUNG
Anzahl Anmeldungen: 9
   davon abgelehnt: 3
Anzahl Überschneidungen: 0
Energie/-Mieteinnahmen: -7883

Energieberechnung: energy2
Moves: move
Positioning: setRandomPositions2(20)

 Energie, Überschneidungen im Zeitverlauf
-4993  5
-4993  4
-4993  4
-5182  3
-4984  3
-4970  2
-4935  4
-5439  3
-5439  3
-5439  3
-5449  3
-5449  3
-5449  3
-5449  3
-5449  3
-5449  3
-5438  3
-5438  3
-5438  3
-5438  3
-5438  3
-5438  3
-5438  3
-5438  3
-5438  3
-5438  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4820  3
-4565  1
-4565  1
-4565  1
-4565  1
-5183  1
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4452  0
-4452  0
-4452  0
-4452  0
-4452  0
-4452  0
-4452  0
-4452  0
-4452  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-4529  0
-5187  1
-5187  1
-5187  1
-5187  1
-5221  4
-5221  4
-3710  3
-3710  3
-3752  3
-3752  3
-3752  3
-3752  3
-3752  3
-3740  3
-3740  3
-3740  3
-3785  1
-3785  1
-5516  3
-5516  3
-5516  3
-5516  3
-5516  3
-5432  4
-5432  4
-5432  4
-6407  7
-6359  7
-6242  7
-6443  5
-5609  5
-5609  5
-4724  3
-4724  3
-3107  1
-3244  1
-2775  0
-2775  0
-2775  0
-2775  0
-2775  0
-2775  0
-2775  0
-2775  0
-3393  0
-3393  0
-5913  1
-5913  1
-5820  3
-5820  3
-5820  3
-5820  3
-5897  3
-5990  1
-5714  0
-5714  0
-5201  0
-5124  0
-5124  0
-5124  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5627  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5201  0
-5201  0
-5201  0
-5201  0
-5201  0
-5199  1
-5160  1
-5160  1
-5160  1
-6323  3
-6323  3
-6323  3
-6323  3
-6299  1
-6405  3
-6405  3
-6405  3
-6405  3
-6256  6
-6256  6
-6730  3
-5627  1
-5627  1
-5627  1
-5627  1
-5124  1
-5124  1
-5124  1
-5124  1
-5124  1
-5124  1
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5124  0
-5456  1
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  1
-4517  0
-4517  0
-4517  0
-4517  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  0
-4943  1
-5456  2
-5472  2
-5627  1
-5627  1
-6140  1
-6140  1
-6142  1
-6206  1
-6129  1
-6129  1
-6129  1
-6025  1
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5456  0
-5533  0
-5533  0
-5533  0
-5533  0
-5533  0
-5533  0
-5533  0
-5533  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
-5020  0
